# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
914.5; 47.241; 18.75; 0.01924; -0.51872; -0.00183; -0.03497
917.6; 47.407; 18.67; 0.03578; -0.49812; -0.04504; -0.04679
920.7; 47.573; 18.59; 0.04758; -0.47049; -0.05245; -0.04250
923.8; 47.740; 18.50; 0.05549; -0.45342; -0.01543; -0.03991
926.9; 47.908; 18.41; 0.06072; -0.43562; 0.03113; -0.04996
930.0; 48.077; 18.34; 0.05839; -0.30961; 0.03988; -0.06747
933.1; 48.244; 18.84; 0.02222; 0.24111; -0.01852; -0.04564
936.2; 48.409; 18.78; -0.00046; 0.51004; -0.04239; 0.00877
939.3; 48.574; 18.73; -0.02210; 0.52896; 0.00596; 0.04267
942.4; 48.740; 18.65; -0.03948; 0.50712; 0.05254; 0.04829
945.5; 48.906; 18.56; -0.05253; 0.48445; 0.04736; 0.04275
948.6; 49.073; 18.47; -0.06237; 0.46805; -0.00292; 0.04341
951.7; 49.242; 18.38; -0.06863; 0.42498; -0.05952; 0.05498
954.8; 49.411; 18.32; -0.06287; 0.25371; -0.07671; 0.06951
957.9; 49.578; 18.82; -0.02178; -0.25968; -0.01854; 0.04598
961.0; 49.742; 18.90; -0.00008; -0.46425; 0.01599; -0.00249
964.1; 49.906; 18.86; 0.01872; -0.51679; -0.01533; -0.03461
967.2; 50.071; 18.79; 0.03537; -0.49652; -0.05549; -0.04536
970.3; 50.236; 18.70; 0.04722; -0.46790; -0.06452; -0.04472
973.4; 50.402; 18.61; 0.05508; -0.45078; -0.03968; -0.04348
976.5; 50.569; 18.52; 0.06043; -0.43725; 0.00129; -0.04814
979.6; 50.737; 18.45; 0.05947; -0.32871; 0.02589; -0.06055
982.7; 50.902; 18.94; 0.02410; 0.22109; -0.00875; -0.04258
985.8; 51.066; 18.88; 0.00052; 0.50513; -0.02839; 0.00562
988.9; 51.231; 18.83; -0.02138; 0.52923; 0.00677; 0.03683
992.0; 51.396; 18.75; -0.03907; 0.50659; 0.04275; 0.04758
995.1; 51.561; 18.66; -0.05225; 0.48250; 0.04826; 0.04893
998.2; 51.728; 18.57; -0.06208; 0.46638; 0.01919; 0.04842
1001.3; 51.895; 18.48; -0.06856; 0.42785; -0.03279; 0.05208
1004.4; 52.063; 18.41; -0.06451; 0.27768; -0.06957; 0.06251
1007.5; 52.229; 18.91; -0.02403; -0.23718; -0.03394; 0.04455
1010.6; 52.393; 18.93; -0.00090; -0.45743; 0.00049; 0.00132
